playerId,awardCount,homeRuns,totalGames,oba,era,slg,obp,allStar,yearsPlayed,finalGame,completeGames,zr,class
fosteed02,0,6,1500,999,999,0.3257,0.32925066,0,13.3178,1923-08-05,0,0,FALSE
fostege01,9,348,1977,999,999,0.4799,0.33845563,5,17.0000,1986-09-06,0,0,FALSE
fosteru99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
foxne01,9,35,2367,999,999,0.3625,0.34654346,13,18.1425,1965-07-25,0,0,TRUE
foxxji01,22,534,2317,0.085,0.795,0.6093,0.42827380,7,20.4110,1945-09-23,0,0,TRUE
francjo01,6,0,1119,0.25395238095238093,3.133809523809523,0.0882,0.08826436,2,21.2000,2005-07-01,0,0,FALSE
francju02,0,48,404,999,999,0.4388,0.29697524,0,5.0411,2014-09-28,0,0,FALSE
frasech01,0,3,459,999,3.4520000000000004,0.2305,0.22956716,0,13.0438,1909-05-03,342,0,FALSE
freehbi01,9,200,1774,999,999,0.4120,0.33974639,8,15.0301,1976-10-03,0,2,FALSE
fregoji01,3,151,1902,999,999,0.3984,0.33770313,6,16.7205,1978-05-31,0,0,FALSE
frickfo99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
friscfr01,15,105,2311,999,999,0.4321,0.36865564,2,18.1479,1937-08-05,0,0,TRUE
frymatr01,5,223,1699,999,999,0.4428,0.33587888,5,12.2384,2002-09-29,0,0,FALSE
frymawo01,0,2,625,0.27294999999999997,4.5569999999999995,0.1576,0.15814696,0,17.2959,1983-07-28,68,0,FALSE
furilca01,3,192,1806,999,999,0.4581,0.35348324,0,14.0685,1960-05-07,0,0,FALSE
gaettga01,6,360,2507,0.43333333333333335,6,0.4336,0.30761375,2,18.5726,2000-04-12,0,0,FALSE
gagliph01,0,14,702,999,999,0.3133,0.31575709,0,11.4685,1974-10-01,0,0,FALSE
gagneer01,6,1,402,0.19763636363636364,3.128181818181818,0.2209,0.14942282,3,9.0575,2008-09-25,0,0,FALSE
galanau01,0,100,1742,999,999,0.4194,0.39043378,3,15.3945,1949-09-16,0,0,FALSE
galaran01,4,399,2257,999,999,0.4988,0.34705552,5,19.1260,2004-10-03,0,0,FALSE
galvipu01,0,5,764,999,2.941764705882353,0.2606,0.21284047,0,17.2110,1892-08-02,646,0,TRUE
gamblos01,0,200,1584,999,999,0.4542,0.35641279,0,15.9589,1985-08-08,0,0,FALSE
gantro01,2,321,1832,999,999,0.4677,0.33565952,2,15.7260,2003-05-25,0,0,FALSE
garcino01,5,229,1434,999,999,0.5206,0.36147938,5,13.1014,2009-10-04,0,0,FALSE
garneph01,0,109,1860,999,999,0.3885,0.32268517,3,15.0712,1988-10-02,0,0,FALSE
garvene01,0,7,458,0.25733333333333336,3.768,0.2830,0.28137497,1,13.1096,1961-06-04,153,0,FALSE
garvest01,15,272,2332,999,999,0.4461,0.32937562,10,17.7342,1987-05-23,0,0,FALSE
gehrich01,24,184,2323,999,999,0.4805,0.40362536,6,18.0247,1942-09-27,0,0,TRUE
gehrilo01,25,493,2164,999,999,0.6324,0.44735188,6,15.8849,1939-04-30,0,0,TRUE
gelbech01,0,17,876,0.27,9,0.3736,0.33575500,0,11.4603,1940-09-28,0,0,FALSE
geronce01,4,51,1522,999,999,0.3680,0.32505959,0,14.3753,1983-08-28,0,0,FALSE
gibsobo01,19,24,596,0.23194117647058826,3.1458823529411766,0.3012,0.24347203,6,16.3973,1975-09-03,255,0,TRUE
gibsojo99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
gibsoki01,3,255,1635,999,999,0.4633,0.35157534,0,15.9315,1995-08-10,0,0,FALSE
gilesbr02,0,287,1847,999,999,0.5024,0.39982122,2,13.7644,2009-06-18,0,0,FALSE
gileswa99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
gillipa99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
giustda01,1,4,686,0.2526875,3.63625,0.2500,0.23515982,1,15.4685,1977-09-27,35,0,FALSE
gladdfr01,0,0,450,0.25561538461538463,3.7415384615384615,0.0159,0.01562024,0,11.9288,1973-06-02,0,0,FALSE
glassja01,0,27,1741,999,14.85,0.3741,0.34192209,0,16.2110,1895-07-13,0,0,FALSE
glaustr01,5,320,1537,999,999,0.4895,0.35798588,4,12.1781,2010-10-01,0,0,FALSE
glavito02,14,1,709,0.25977272727272727,3.706363636363636,0.2101,0.24422597,6,21.0082,2008-08-14,56,0,TRUE
gleaski01,0,15,1971,999,4.441111111111111,0.3176,0.31070277,0,24.3671,1912-08-27,240,0,FALSE
goltzda01,0,0,356,0.27907692307692306,3.9861538461538455,0.1064,0.19999010,0,10.9342,1983-06-22,83,0,FALSE
gomezle01,11,0,368,0.2464285714285714,3.9285714285714284,0.1593,0.19351489,5,13.0932,1943-05-30,173,0,TRUE
gonzaju03,12,434,1689,999,999,0.5607,0.34321288,3,15.7562,2005-05-31,0,0,FALSE
gonzalu01,3,354,2591,999,999,0.4789,0.36660013,5,18.0795,2008-09-28,0,0,FALSE
gonzami01,0,13,1042,999,999,0.3241,0.31428528,0,19.9562,1932-09-07,0,0,FALSE
goodedw01,6,8,434,0.2579444444444444,4.224999999999999,0.2618,0.21204396,3,16.4904,2000-09-29,68,0,FALSE
gordojo01,21,253,1566,999,999,0.4656,0.35688993,8,12.4603,1950-09-30,0,0,TRUE
gordoto01,2,0,893,0.24431818181818182,4.722727272727273,0.0000,0.00000000,3,20.6630,2009-05-03,18,0,FALSE
gosgeji01,0,30,705,999,999,0.3306,0.30941903,0,11.3945,1974-09-22,0,0,FALSE
gosligo01,4,248,2287,999,999,0.4997,0.38706013,1,17.0356,1938-09-25,0,0,TRUE
gossari01,3,0,1003,0.23330434782608703,3.1999999999999997,0.1176,0.14606161,6,22.3260,1994-08-08,16,0,TRUE
gowdyha01,1,21,1050,999,999,0.3580,0.35077986,0,19.9726,1930-08-29,0,0,FALSE
gracema01,4,173,2245,0.25,9,0.4420,0.38326324,3,15.4164,2003-09-28,0,0,FALSE
granted01,0,5,990,999,999,0.2948,0.29980713,0,10.1781,1915-10-06,0,0,FALSE
grantfr99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
grantge01,0,105,1444,999,999,0.4612,0.39238952,0,11.8548,1934-07-26,0,0,FALSE
grantmu01,2,6,667,0.24733333333333332,3.605555555555555,0.2398,0.21614944,1,13.4603,1971-09-29,89,0,FALSE
greenha01,12,331,1394,999,999,0.6050,0.41181342,2,17.0219,1947-09-18,0,0,TRUE
greenmi01,2,130,1269,999,999,0.4631,0.36780941,2,11.0712,1996-09-28,0,0,FALSE
greensh01,3,328,1951,999,999,0.4945,0.35519538,2,14.0110,2007-09-29,0,0,FALSE
grichbo01,8,224,2044,999,999,0.4237,0.37051639,6,16.2712,1986-10-02,0,0,FALSE
griffcl01,0,8,485,0.5,3.4790000000000005,0.3101,0.31809437,0,23.5041,1914-10-07,337,0,TRUE
griffke01,2,152,2097,999,999,0.4312,0.35873775,2,17.7753,1991-05-31,0,0,FALSE
griffke02,29,630,2671,999,999,0.5378,0.36951123,9,21.1726,2010-05-31,0,0,TRUE
grimebu01,11,2,632,0.2691304347826087,3.9530434782608683,0.3062,0.28216249,0,18.0384,1934-09-20,314,0,TRUE
grimmch01,2,79,2166,999,999,0.3974,0.34107436,0,20.1644,1936-09-23,0,0,FALSE
grimsro02,0,0,346,0.2810833333333333,4.300833333333334,0.1388,0.14404337,0,11.3671,1982-09-24,79,0,FALSE
grissma01,0,0,356,0.27727272727272734,5.370000000000001,0.1587,0.16161667,1,12.7589,1959-06-11,12,0,FALSE
grissma02,5,227,2165,999,999,0.4145,0.31778948,2,15.9507,2005-07-31,0,0,FALSE
groatdi01,5,39,1929,999,999,0.3662,0.32987154,8,15.2959,1967-10-01,0,0,FALSE
grohhe01,8,26,1676,999,999,0.3843,0.37253760,0,15.4822,1927-10-02,0,0,FALSE
gromest01,1,0,470,0.255,3.955,0.2175,0.27920256,0,15.9452,1957-07-25,92,0,FALSE
grossgr01,0,7,1809,0.4165,9,0.3514,0.37172642,0,16.0712,1989-09-27,0,0,FALSE
groteje01,0,39,1421,999,999,0.3257,0.31623940,2,18.0466,1981-10-03,0,2.8333333333333335,FALSE
grovele01,26,15,619,0.25352941176470584,3.2641176470588236,0.2075,0.20935000,3,16.4685,1941-09-28,298,0,TRUE
groveor01,0,1,207,0.30700000000000005,9.598,0.1582,0.20147420,0,8.9205,1949-04-27,66,0,FALSE
grudzma01,1,90,1802,999,999,0.3932,0.33174666,1,15.1178,2010-06-06,0,0,FALSE
guarded01,0,0,909,0.2606842105263158,4.5552631578947365,0.0000,0.00000000,2,16.3096,2009-09-30,0,0,FALSE
guerrpe01,4,215,1536,999,999,0.4800,0.36996397,4,14.0438,1992-10-04,0,0,FALSE
guerrvl01,15,449,2147,999,999,0.5525,0.37862899,9,15.0329,2011-09-28,0,0,TRUE
guidrro01,13,0,379,0.24892857142857142,3.5414285714285714,0.0000,0.00000000,2,13.1808,1988-09-27,95,0,FALSE
guillca01,0,124,1305,999,999,0.4432,0.35492464,2,13.0411,2011-09-18,0,0,FALSE
